Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA5:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,
,,,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6
,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000018,855,Leicestershire,,150,,4.9,4.0,0.8,,7.4,,155,,3.2,2.7,0.5,,6.5,,175,,2.9,2.5,0.4,,4.6,,185,,3.7,2.9,0.8,,8.7
E10000019,925,Lincolnshire,,225,,4.6,4.0,0.6,,13.3,,255,,3.9,3.3,0.6,,7.1,,270,,3.7,3.1,0.6,,8.1,,285,,3.9,3.1,0.8,,8.4
E10000021,928,Northamptonshire,,260,,4.6,3.8,0.8,,9.5,,275,,4.0,3.0,1.1,,10.5,,315,,3.8,2.8,1.0,,7.0,,325,,3.6,2.8,0.8,,9.3
E06000018,892,Nottingham,,215,,3.9,2.7,1.2,,7.4,,220,,3.8,2.7,1.1,,9.1,,210,,4.7,3.3,1.4,,10.0,,265,,3.8,2.8,1.0,,9.1
E10000024,891,Nottinghamshire,,335,,4.4,3.3,1.1,,10.1,,345,,3.7,2.7,1.0,,7.5,,360,,3.2,2.6,0.6,,5.3,,365,,3.1,2.3,0.8,,6.8
E06000017,857,Rutland,,15,,3.7,2.6,1.1,,x,,15,,1.9,1.8,0.1,,0.0,,10,,1.4,1.3,x,,x,,10,,1.9,1.0,0.8,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,,"3,630",,4.4,3.4,1.1,,10.0,,"3,880",,3.7,2.9,0.9,,8.2,,"4,090",,3.7,3.0,0.7,,7.8,,"4,200",,3.8,2.9,0.8,,8.2
E08000025,330,Birmingham,,815,,4.5,3.3,1.1,,10.4,,805,,3.8,3.0,0.8,,8.6,,820,,3.5,2.8,0.6,,6.8,,845,,3.2,2.5,0.6,,6.0
E08000026,331,Coventry,,215,,4.6,3.4,1.2,,10.6,,245,,3.9,2.9,1.0,,8.6,,245,,3.4,2.8,0.5,,5.8,,240,,4.4,3.4,1.0,,11.6
E08000027,332,Dudley,,350,,4.0,3.2,0.9,,8.3,,375,,3.8,2.8,1.0,,8.0,,370,,3.6,2.7,0.9,,7.5,,365,,3.5,2.7,0.8,,8.8
E06000019,884,Herefordshire,,65,,4.6,4.4,0.2,,11.9,,85,,3.4,3.1,0.3,,x,,95,,3.7,3.5,0.2,,8.6,,110,,3.2,2.6,0.7,,x
E08000028,333,Sandwell,,255,,5.4,3.2,2.1,,10.6,,275,,3.5,2.3,1.1,,8.7,,280,,3.2,2.6,0.6,,7.1,,255,,4.2,2.8,1.4,,10.1
E06000051,893,Shropshire,,90,,5.0,4.6,0.4,,12.5,,100,,2.7,2.5,0.2,,5.9,,105,,4.4,3.9,0.5,,8.4,,120,,4.1,3.7,0.5,,7.4
E08000029,334,Solihull,,140,,5.1,3.9,1.2,,10.6,,135,,4.5,3.3,1.2,,11.1,,130,,5.0,4.2,0.8,,9.2,,150,,5.6,4.4,1.2,,10.1
E10000028,860,Staffordshire,,380,,3.8,3.2,0.6,,9.0,,425,,3.4,2.8,0.6,,6.4,,460,,3.7,3.0,0.7,,10.4,,450,,3.9,3.1,0.8,,8.7
E06000021,861,Stoke on Trent,,175,,4.3,2.8,1.5,,9.7,,190,,2.8,2.2,0.6,,4.8,,205,,3.3,2.0,1.3,,5.4,,255,,3.2,2.1,1.1,,8.2
E06000020,894,Telford and Wrekin,,135,,3.3,2.9,0.4,,5.9,,135,,4.2,3.4,0.8,,10.9,,135,,3.5,2.9,0.6,,6.8,,140,,4.4,3.4,1.0,,9.3
E08000030,335,Walsall,,240,,4.0,2.8,1.2,,8.8,,275,,3.0,2.3,0.7,,6.2,,300,,2.9,2.4,0.6,,5.6,,300,,2.8,2.3,0.5,,6.4
E10000031,937,Warwickshire,,265,,4.9,3.9,1.0,,10.6,,265,,4.3,3.6,0.7,,9.1,,275,,4.3,3.8,0.5,,10.5,,285,,3.7,3.1,0.6,,6.7
E08000031,336,Wolverhampton,,265,,4.8,3.3,1.4,,11.7,,300,,4.0,2.8,1.2,,9.4,,380,,3.8,2.7,1.1,,7.7,,360,,3.3,2.7,0.6,,6.7
E10000034,885,Worcestershire,,235,,4.6,4.0,0.6,,10.1,,275,,4.6,3.5,1.1,,10.1,,285,,4.6,3.7,1.0,,10.5,,325,,5.5,3.9,1.6,,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,,"2,540",,4.6,3.7,0.9,,10.3,,"2,500",,3.9,3.1,0.7,,8.6,,"2,590",,3.6,3.0,0.6,,7.9,,"2,620",,3.8,3.1,0.7,,8.5
E06000055,822,Bedford Borough,,75,,3.5,3.1,0.4,,7.9,,90,,3.0,2.6,0.5,,7.8,,105,,2.4,2.3,0.1,,x,,110,,3.1,2.4,0.7,,6.4
E06000056,823,Central Bedfordshire,,70,,5.0,3.4,1.6,,x,,90,,4.2,2.7,1.5,,8.9,,115,,4.5,3.5,0.9,,12.8,,130,,5.3,4.6,0.7,,12.4
E10000003,873,Cambridgeshire,,210,,4.9,4.1,0.8,,11.0,,205,,3.2,3.0,0.2,,7.7,,225,,3.4,2.8,0.6,,7.6,,245,,4.2,3.3,0.9,,11.4
E10000012,881,Essex,,590,,4.3,3.5,0.8,,8.1,,520,,4.0,3.3,0.8,,9.8,,465,,3.7,3.1,0.6,,7.9,,430,,3.5,2.8,0.7,,7.2
E10000015,919,Hertfordshire,,375,,4.8,3.9,0.9,,11.9,,365,,4.2,3.5,0.7,,9.3,,385,,3.7,3.3,0.4,,8.8,,395,,4.4,3.7,0.7,,9.9
E06000032,821,Luton,,170,,4.6,3.2,1.4,,8.1,,175,,3.5,2.8,0.6,,8.6,,175,,2.9,2.4,0.4,,6.3,,170,,3.1,2.6,0.5,,5.3
E10000020,926,Norfolk,,415,,4.7,3.8,0.9,,10.4,,440,,3.8,3.0,0.8,,7.3,,485,,3.8,3.3,0.5,,7.8,,490,,3.4,2.9,0.4,,8.4
E06000031,874,Peterborough,,125,,3.6,2.9,0.6,,8.1,,125,,3.1,2.7,0.4,,6.3,,120,,3.3,2.7,0.6,,5.8,,125,,3.2,2.6,0.6,,5.6
E06000033,882,Southend,,120,,5.2,3.8,1.4,,13.4,,95,,4.9,3.0,1.9,,11.3,,90,,4.2,3.2,1.0,,9.9,,85,,4.8,3.2,1.6,,8.0
E10000029,935,Suffolk,,300,,4.5,3.8,0.8,,13.0,,280,,4.3,3.5,0.7,,7.5,,295,,3.4,2.9,0.5,,8.5,,320,,4.1,3.2,0.9,,8.7
E06000034,883,Thurrock,,95,,5.3,4.3,1.0,,14.0,,105,,3.9,3.2,0.7,,10.3,,120,,3.6,2.5,1.1,,7.4,,115,,2.9,2.2,0.6,,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,,"3,570",,4.5,3.2,1.3,,10.8,,"3,530",,4.3,3.0,1.2,,9.8,,"3,550",,4.3,3.1,1.2,,10.5,,"3,400",,4.1,3.0,1.1,,10.1
,,INNER LONDON,,"1,620",,4.8,3.3,1.5,,11.3,,"1,590",,4.3,3.1,1.2,,10.1,,"1,580",,4.5,3.2,1.3,,10.8,,"1,460",,4.2,3.1,1.1,,10.2
E09000007,202,Camden,,85,,5.9,3.4,2.4,,11.8,,90,,5.3,2.7,2.6,,13.0,,85,,6.3,3.3,3.0,,16.7,,65,,5.5,3.0,2.4,,16.9
E09000001,201,City of London,,x,,6.1,5.6,0.5,,x,,x,,4.5,3.8,0.6,,0.0,,x,,4.5,4.2,0.3,,0.0,,x,,3.7,3.7,0.0,,0.0
E09000012,204,Hackney,,115,,5.2,3.3,1.9,,11.3,,125,,4.9,3.6,1.3,,12.8,,135,,3.7,2.9,0.8,,6.8,,125,,4.4,3.0,1.4,,12.2
E09000013,205,Hammersmith & Fulham,,75,,5.3,3.2,2.1,,11.8,,70,,5.7,3.5,2.3,,12.7,,65,,4.3,3.2,1.1,,11.9,,55,,5.4,3.4,2.1,,15.8
E09000014,309,Haringey,,230,,4.3,3.2,1.1,,9.6,,225,,5.0,3.1,1.9,,12.1,,225,,4.3,3.2,1.1,,10.7,,200,,4.0,3.3,0.7,,9.5
E09000019,206,Islington,,105,,5.4,3.5,1.9,,15.2,,100,,3.8,3.0,0.8,,8.9,,90,,3.7,2.7,1.0,,10.2,,85,,4.1,2.9,1.2,,10.5
