"Table LA9:  Exclusions from school of children who have been looked after continuously for at least 12 months1,2,3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,
,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion
,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwark,90-99,, 200 ,,x,20.79,,90-99,, 190 ,,0.00,13.23,,90-99,,195,,0.00,15.98,,90-99,,210,,x,13.46
Tower Hamlets,100,, 125 ,,0.00,14.29,,90-99,, 135 ,,0.00,9.56,,90-99,,120,,0.00,11.76,,100,,115,,0.00,10.62
Wandsworth,90-99,, 100 ,,0.00,10.78,,90-99,, 100 ,,x,11.22,,100,,95,,x,16.13,,100,,85,,0.00,13.79
Westminster,100,, 85 ,,0.00,14.29,,100,, 90 ,,0.00,12.22,,100,,80,,0.00,12.20,,100,,70,,0.00,10.14
OUTER LONDON,.,," 2,190 ",,x,12.17,,.,," 2,200 ",,0.27,12.08,,.,," 2,090 ",,0.29,11.99,,.,," 2,080 ",,x,9.44
Barking and Dagenham,90-99,, 130 ,,0.00,7.75,,90-99,, 140 ,,x,6.47,,90-99,,155,,0.00,12.26,,90-99,,165,,0.00,10.18
Barnet,90-99,, 150 ,,0.00,16.45,,100,, 140 ,,x,19.15,,100,,120,,0.00,15.00,,100,,110,,0.00,14.68
Bexley,90-99,, 85 ,,0.00,8.33,,90-99,, 80 ,,0.00,11.25,,90-99,,85,,x,6.98,,90-99,,100,,0.00,x
Brent,90-99,, 140 ,,0.00,11.97,,90-99,, 140 ,,x,21.01,,90-99,,135,,x,16.18,,90-99,,125,,x,12.80
Bromley,100,, 100 ,,0.00,12.75,,100,, 115 ,,0.00,10.26,,100,,110,,0.00,9.09,,100,,95,,0.00,x
Croydon,90-99,, 310 ,,0.00,8.12,,90-99,, 300 ,,0.00,8.39,,90-99,,240,,x,10.50,,90-99,,220,,0.00,8.60
Ealing,90-99,, 145 ,,x,12.41,,90-99,, 140 ,,0.00,11.27,,100,,140,,0.00,12.95,,90-99,,155,,0.00,10.32
Enfield,90-99,, 120 ,,0.00,15.00,,90-99,, 115 ,,0.00,15.38,,100,,120,,0.00,14.05,,100,,110,,0.00,9.91
Greenwich,100,, 225 ,,0.00,11.61,,100,, 230 ,,0.00,13.48,,90-99,,240,,0.00,11.57,,90-99,,255,,0.00,8.66
Harrow,90-99,, 55 ,,0.00,22.22,,90-99,, 30 ,,0.00,x,,100,,30,,0.00,x,,90-99,,30,,0.00,x
Havering,90-99,, 75 ,,x,17.11,,100,, 70 ,,0.00,13.04,,100,,60,,0.00,13.11,,100,,70,,0.00,8.45
Hillingdon,90-99,, 145 ,,x,15.97,,90-99,, 155 ,,0.00,11.11,,90-99,,140,,x,14.39,,90-99,,125,,0.00,11.38
Hounslow,90-99,, 140 ,,0.00,9.86,,90-99,, 155 ,,0.00,8.50,,90-99,,130,,0.00,8.59,,90-99,,130,,0.00,8.46
Kingston upon Thames,100,, 40 ,,0.00,x,,100,, 50 ,,0.00,x,,100,,45,,0.00,x,,100,,45,,0.00,x
Merton,100,, 40 ,,0.00,17.50,,100,, 40 ,,0.00,x,,100,,45,,0.00,20.93,,100,,50,,0.00,15.69
Redbridge,90-99,, 70 ,,0.00,14.29,,90-99,, 80 ,,0.00,12.50,,100,,85,,0.00,10.84,,100,,90,,0.00,7.69
Richmond upon Thames,100,, 35 ,,0.00,18.92,,90-99,, 35 ,,0.00,16.22,,100,,30,,0.00,x,,100,,20,,0.00,0.00
Sutton,100,, 50 ,,0.00,x,,100,, 55 ,,0.00,15.79,,100,,60,,0.00,12.07,,100,,65,,0.00,x
Waltham Forest,90-99,, 125 ,,0.00,11.02,,100,, 130 ,,x,12.98,,100,,120,,0.00,10.00,,90-99,,115,,0.00,11.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH EAST,.,," 3,220 ",,x,14.02,,.,," 3,380 ",,0.30,13.46,,.,," 3,470 ",,x,13.48,,.,," 3,660 ",,x,12.15
Bracknell Forest,100,, 30 ,,0.00,25.00,,100,, 30 ,,0.00,20.00,,100,,35,,0.00,x,,100,,40,,0.00,x
Brighton and Hove,90-99,, 145 ,,x,19.05,,90-99,, 180 ,,0.00,9.55,,90-99,,215,,0.00,11.63,,100,,230,,0.00,13.16
Buckinghamshire,90-99,, 120 ,,0.00,9.02,,90-99,, 135 ,,0.00,8.09,,100,,170,,0.00,16.57,,100,,185,,0.00,13.11
East Sussex,90-99,, 230 ,,0.00,12.07,,100,, 245 ,,x,13.17,,100,,270,,0.00,12.50,,100,,295,,0.00,10.92
Hampshire,90-99,, 510 ,,0.00,11.13,,90-99,, 515 ,,x,14.73,,90-99,,475,,0.00,14.32,,100,,500,,0.00,11.62
Isle of Wight,90-99,, 90 ,,0.00,15.38,,90-99,, 80 ,,0.00,x,,90-99,,65,,0.00,11.94,,90-99,,65,,0.00,11.94
Kent,90-99,, 590 ,,x,18.14,,90-99,, 630 ,,x,16.32,,90-99,,675,,x,15.16,,90-99,,720,,x,14.05
Medway Towns,90-99,, 130 ,,x,12.12,,100,, 135 ,,0.00,12.69,,100,,145,,0.00,8.28,,100,,170,,0.00,4.76
Milton Keynes,100,, 85 ,,0.00,8.05,,100,, 110 ,,0.00,8.18,,100,,125,,0.00,8.80,,100,,120,,0.00,10.08
Oxfordshire,90-99,, 175 ,,0.00,18.08,,90-99,, 170 ,,0.00,11.90,,100,,145,,0.00,17.36,,100,,155,,0.00,17.20
