New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E06000043,LA,846,Brighton and Hove,174,67,90,84,51,37,21,52,13,131,x,x,11,19,x,0,x,39,0,x,99,27,x,0,6,0,0,,,,,,,,,
E10000014,LA,850,Hampshire,480,150,258,222,96,79,79,178,48,138,16,33,70,191,16,x,15,101,x,0,314,30,14,0,16,0,0,,,,,,,,,
E06000044,LA,851,Portsmouth,122,50,74,48,29,25,17,30,21,52,x,x,6,33,11,0,16,30,x,x,65,14,x,0,6,0,0,,,,,,,,,
E06000045,LA,852,Southampton,219,88,118,101,49,61,48,52,9,172,x,x,16,18,x,0,x,37,0,0,129,41,10,0,x,0,0,,,,,,,,,
E10000018,LA,855,Leicestershire,223,73,132,91,58,48,44,45,28,116,9,x,42,39,x,0,10,59,x,0,150,9,x,0,0,0,0,,,,,,,,,
E06000016,LA,856,Leicester,206,89,113,93,52,33,27,61,33,108,x,x,35,38,9,0,11,78,x,0,98,10,0,0,19,0,0,,,,,,,,,
E06000017,LA,857,Rutland,10,x,x,6,x,x,x,x,x,x,0,0,x,0,x,0,0,x,x,0,6,x,0,0,0,0,0,,,,,,,,,
E10000028,LA,860,Staffordshire,339,116,167,172,65,72,65,95,42,143,8,13,51,91,x,0,31,95,x,0,220,8,9,0,x,0,0,,,,,,,,,
E06000021,LA,861,Stoke-on-Trent,247,131,138,109,53,77,42,57,18,111,10,26,6,64,17,0,13,89,0,0,116,30,12,0,0,0,0,,,,,,,,,
E06000054,LA,865,Wiltshire,199,51,114,85,38,28,44,72,17,85,10,x,20,71,0,0,11,32,0,0,147,16,x,0,x,0,0,,,,,,,,,
E06000030,LA,866,Swindon,129,26,68,61,19,16,21,49,24,56,x,x,25,26,6,0,8,13,0,0,99,x,9,0,x,0,0,,,,,,,,,
E06000036,LA,867,Bracknell Forest,48,23,23,25,8,7,11,14,8,26,x,x,7,7,x,0,x,7,0,0,24,14,x,0,x,0,0,,,,,,,,,
E06000040,LA,868,Windsor and Maidenhead,55,21,34,21,6,10,12,25,x,26,x,0,9,15,x,0,x,15,0,0,33,6,0,0,x,0,0,,,,,,,,,
E06000037,LA,869,West Berkshire,54,14,27,27,10,11,6,23,x,21,x,0,x,20,x,0,x,9,0,0,40,x,x,0,0,0,0,,,,,,,,,
E06000038,LA,870,Reading,85,37,47,38,27,10,22,20,6,55,x,x,6,12,x,0,7,18,x,0,47,11,7,0,x,0,0,,,,,,,,,
E06000039,LA,871,Slough,107,26,47,60,21,15,20,34,17,86,x,6,0,x,x,0,x,x,0,0,80,21,0,0,x,0,0,,,,,,,,,
E06000041,LA,872,Wokingham,45,27,24,21,6,7,10,19,x,22,x,x,13,x,0,0,0,20,x,0,18,x,x,0,0,0,0,,,,,,,,,
E10000003,LA,873,Cambridgeshire,162,62,89,73,34,27,18,48,35,102,x,x,13,26,8,0,6,58,0,x,97,x,x,x,x,0,0,,,,,,,,,
E06000031,LA,874,Peterborough,142,48,74,68,34,29,18,37,24,90,x,x,x,30,7,0,x,37,0,0,90,x,8,0,x,0,0,,,,,,,,,
E06000006,LA,876,Halton,68,28,34,34,17,14,14,20,x,31,x,0,0,36,0,0,0,24,0,0,39,0,x,0,0,0,x,,,,,,,,,
E06000007,LA,877,Warrington,91,26,45,46,20,21,16,29,x,61,x,x,x,17,x,0,x,10,x,0,64,15,0,0,x,0,0,,,,,,,,,
E10000008,LA,878,Devon,392,74,207,185,72,54,43,138,85,219,24,7,66,54,6,0,16,42,x,x,314,21,10,0,0,x,0,,,,,,,,,
E06000026,LA,879,Plymouth,140,52,79,61,38,21,18,38,25,107,14,x,x,x,x,7,x,37,x,x,85,8,6,0,x,0,0,,,,,,,,,
E06000027,LA,880,Torbay,152,59,71,81,25,40,35,41,11,110,x,x,x,22,6,0,x,20,0,0,92,28,11,0,0,0,x,,,,,,,,,
