time_period,time_identifier,geographic_level,country_code,country_name,missing_status,breakdown,number
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,5920
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,570
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,26560
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,370
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,77110
2022,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,77110
2022,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,43470
2022,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,33640
2022,Reporting year,National,E92000001,England,Placement locations from which children were missing,Total incidents,77110
2022,Reporting year,National,E92000001,England,Placements from which children were missing,1: Foster placements,17460
2022,Reporting year,National,E92000001,England,Placements from which children were missing,2: Adoption,0
2022,Reporting year,National,E92000001,England,Placements from which children were missing,3: Placed with parents or other person with parental responsibility,1350
2022,Reporting year,National,E92000001,England,Placements from which children were missing,4: Secure homes and children's homes,26060
2022,Reporting year,National,E92000001,England,Placements from which children were missing,5: Independent and semi-independent living arrangements/ supported accommodation,30000
2022,Reporting year,National,E92000001,England,Placements from which children were missing,6:Other placements,2240
2022,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,77110
2021,Reporting year,National,E92000001,England,Age of children missing from placement,1 to 4 years,40
2021,Reporting year,National,E92000001,England,Age of children missing from placement,10 to 15 years,26770
2021,Reporting year,National,E92000001,England,Age of children missing from placement,16 years and over,44730
2021,Reporting year,National,E92000001,England,Age of children missing from placement,5 to 9 years,100
2021,Reporting year,National,E92000001,England,Age of children missing from placement,Total incidents,71660
2021,Reporting year,National,E92000001,England,Age of children missing from placement,Under 1 year,20
2021,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,108100
2021,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,2.1
2021,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2021,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.6
2021,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,7020
2021,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March,200
2021,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March who were unaccompanied asylum-seeking children,80
2021,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,10
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,African,610
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Asian background,280
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Black background,210
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Mixed background,360
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other White background,430
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Bangladeshi,60
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Caribbean,300
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Chinese,10
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Gypsy Roma,80
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Indian,30
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Information not yet obtained,20
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Pakistani,110
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Refused,c
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Asian or Asian British,490
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,"Total Black, African, Caribbean or Black British",1120
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total children who were missing during the year,10910
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Mixed or Multiple ethnic groups,1080
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total other ethnic group,490
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total refused or information not yet available,20
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,7720
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,30
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,160
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,110
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,440
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7160
2021,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,30
2021,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,4750
2021,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,6160
2021,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,10910
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,39950
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,400
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,180
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,150
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,5420
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,560
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,24650
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,360
2021,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,71660
2021,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,71660
2021,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,40320
2021,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,31340
2021,Reporting year,National,E92000001,England,Placement locations from which children were missing,Total incidents,71660
2021,Reporting year,National,E92000001,England,Placements from which children were missing,1: Foster placements,14090
2021,Reporting year,National,E92000001,England,Placements from which children were missing,2: Adoption,0
2021,Reporting year,National,E92000001,England,Placements from which children were missing,3: Placed with parents or other person with parental responsibility,1160
2021,Reporting year,National,E92000001,England,Placements from which children were missing,4: Secure homes and children's homes,23650
2021,Reporting year,National,E92000001,England,Placements from which children were missing,5: Independent and semi-independent living arrangements/ supported accommodation,30730
2021,Reporting year,National,E92000001,England,Placements from which children were missing,6:Other placements,2030
2021,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,71660
