time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Gypsy Roma,10
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Indian,10
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Information not yet obtained,c
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Pakistani,30
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Refused,0
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Asian or Asian British,140
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"Total Black, African, Caribbean or Black British",460
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total children who were away from placement without authorisation during the year,2620
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Mixed or Multiple ethnic groups,320
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total other ethnic group,120
