New_geog_code,geog_l,geog_c,geog_n,CLA_started2011,CLA_taken2011,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E10000012,LA,881,Essex,582,136,312,270,101,115,93,166,107,324,32,27,56,105,15,x,22,96,8,0,437,29,x,0,9,0,0
E06000033,LA,882,Southend-on-Sea,90,33,43,47,19,30,16,22,x,76,0,0,x,7,x,0,x,25,x,0,57,7,0,0,0,0,0
E06000034,LA,883,Thurrock,118,36,57,61,14,23,23,40,18,61,x,x,15,27,x,0,8,36,0,0,82,0,0,0,0,0,0
E06000019,LA,884,Herefordshire,95,30,48,47,15,25,13,27,15,60,x,x,x,20,x,0,x,17,0,0,62,13,0,0,x,0,0
E10000034,LA,885,Worcestershire,234,63,121,113,44,43,31,71,45,115,9,9,29,43,x,x,23,37,x,x,160,20,x,0,8,0,x
E10000016,LA,886,Kent,944,275,557,387,139,163,143,283,216,307,21,35,99,225,25,x,231,159,15,0,662,91,10,0,7,0,0
E06000035,LA,887,Medway,222,40,111,111,44,37,36,53,52,81,x,x,x,119,8,0,x,22,0,0,179,13,x,0,x,0,0
E10000017,LA,888,Lancashire,456,186,241,215,108,90,61,143,54,302,11,9,34,54,25,0,21,122,x,0,252,54,6,0,16,x,0
E06000008,LA,889,Blackburn with Darwen,119,50,66,53,25,30,21,38,x,66,0,x,14,30,x,0,x,34,0,0,66,12,x,0,x,0,0
E06000009,LA,890,Blackpool,137,57,80,57,34,37,17,41,8,100,9,8,6,13,x,0,0,22,x,0,73,32,x,0,x,x,0
E10000024,LA,891,Nottinghamshire,307,89,172,135,64,77,52,77,37,127,9,14,38,96,12,x,10,71,6,x,211,6,6,0,6,0,0
E06000018,LA,892,Nottingham,247,48,126,121,51,58,39,78,21,149,x,8,28,28,8,0,21,36,0,0,190,9,x,0,9,0,0
E06000051,LA,893,Shropshire,109,37,57,52,13,27,11,50,8,46,8,x,7,37,x,x,x,14,0,0,72,20,x,0,0,0,0
E06000020,LA,894,Telford and Wrekin,95,32,48,47,22,22,17,30,x,70,0,x,7,8,x,0,x,17,0,0,63,14,x,0,0,0,0
E06000049,LA,895,Cheshire East,170,66,104,66,39,37,35,47,12,98,x,8,28,24,x,0,x,45,x,0,104,15,x,0,0,0,0
E06000050,LA,896,Cheshire West and Chester,122,36,58,64,28,16,20,42,16,67,8,x,9,32,0,0,x,33,0,0,86,x,0,0,0,0,0
E06000052,LA,908,Cornwall,247,89,129,118,49,40,53,87,18,140,7,27,29,31,x,0,8,52,0,0,157,34,x,0,x,0,0
E10000006,LA,909,Cumbria,189,69,93,96,42,55,39,45,8,129,x,x,13,32,x,0,0,53,0,0,116,13,x,0,x,0,0
E10000013,LA,916,Gloucestershire,214,62,110,104,40,46,32,44,52,131,x,x,17,27,x,x,22,47,0,0,147,11,x,0,x,0,0
E10000015,LA,919,Hertfordshire,448,182,239,209,92,104,69,119,64,197,6,0,103,140,0,x,0,71,x,0,265,98,12,0,x,0,0
E06000046,LA,921,Isle of Wight,77,22,41,36,12,16,11,28,10,34,9,9,9,11,x,0,x,20,0,0,55,x,x,0,0,0,0
E10000019,LA,925,Lincolnshire,196,69,97,99,47,46,33,52,18,155,x,0,15,12,x,0,6,51,x,0,119,16,0,0,8,0,0
E10000020,LA,926,Norfolk,435,137,227,208,89,66,65,170,45,230,18,17,45,84,11,0,30,52,7,0,296,72,x,x,x,0,0
E10000021,LA,928,Northamptonshire,346,58,199,148,51,70,39,114,71,131,14,6,7,135,15,x,36,17,0,0,279,35,6,0,9,0,0
E06000048,LA,929,Northumberland,74,20,38,36,16,15,8,34,x,26,x,0,24,17,x,0,x,12,0,0,54,6,x,0,0,0,0
E10000025,LA,931,Oxfordshire,241,82,133,107,38,50,29,81,42,102,x,9,38,50,x,x,29,52,x,x,153,24,x,0,x,0,0
E10000027,LA,933,Somerset,257,57,130,127,46,41,37,79,54,146,8,10,48,35,x,0,6,31,x,0,198,18,x,0,x,0,0
E10000029,LA,935,Suffolk,281,85,148,133,72,55,54,75,25,161,x,9,36,46,9,x,12,77,0,x,191,7,x,0,x,0,0
E10000030,LA,936,Surrey,276,108,141,134,50,60,44,84,37,100,x,x,58,90,x,0,17,71,x,0,165,29,x,0,x,0,0
E10000031,LA,937,Warwickshire,290,68,167,123,52,57,30,94,57,113,x,9,47,48,15,0,55,38,x,0,220,18,11,0,x,0,0
E10000032,LA,938,West Sussex,331,107,174,157,64,58,53,100,56,173,x,x,35,46,13,0,57,55,0,0,221,50,x,0,x,0,0
