time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CINO at 31 March,Total,593,211291,32420,15.3,17574,8.3,14846,7,265,44.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CINO at 31 March,State-funded secondary,219,75581,16519,21.9,6418,8.5,10101,13.4,128,58.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CINO at 31 March,State-funded primary,229,83563,7855,9.4,5364,6.4,2491,3,80,34.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CINO at 31 March,Special,137,49457,6883,13.9,5164,10.4,1719,3.5,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CINO at 31 March,Pupil referral unit,8,2690,1163,43.2,628,23.3,535,19.9,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CINO at 31 March,Total,375,132530,22698,17.1,13330,10.1,9368,7.1,201,53.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CINO at 31 March,State-funded secondary,124,41705,11098,26.6,5106,12.2,5992,14.4,92,74.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CINO at 31 March,State-funded primary,163,59304,5719,9.6,3690,6.2,2029,3.4,70,42.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CINO at 31 March,Special,79,28502,3963,13.9,3694,13,269,0.9,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CINO at 31 March,Pupil referral unit,9,3019,1918,63.5,840,27.8,1078,35.7,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CINO at 31 March,Total,508,180282,23869,13.2,11800,6.5,12069,6.7,216,42.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CINO at 31 March,State-funded secondary,193,65108,11928,18.3,4883,7.5,7045,10.8,108,56
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CINO at 31 March,State-funded primary,208,76565,6858,9,3189,4.2,3669,4.8,76,36.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CINO at 31 March,Special,98,35678,3088,8.7,2428,6.8,660,1.8,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CINO at 31 March,Pupil referral unit,9,2931,1995,68.1,1300,44.4,695,23.7,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CINO at 31 March,Total,555,195796,26578,13.6,16835,8.6,9743,5,225,40.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CINO at 31 March,State-funded secondary,230,78407,13346,17,7108,9.1,6238,8,112,48.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CINO at 31 March,State-funded primary,253,91930,7731,8.4,5394,5.9,2337,2.5,76,30
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CINO at 31 March,Special,65,23328,4459,19.1,3726,16,733,3.1,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CINO at 31 March,Pupil referral unit,7,2131,1042,48.9,607,28.5,435,20.4,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CINO at 31 March,Total,520,182935,30772,16.8,17394,9.5,13378,7.3,271,52.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CINO at 31 March,State-funded secondary,235,80310,17586,21.9,8426,10.5,9160,11.4,146,62.1
