LA Number,,Number KS4 boys as returned on SSDA903,Number of boys entered for at least one GCSE or equivalent,Number of boys entered for at least five GCSEs or equivalent,Number of boys achieving any pass at GCSE or equivalent,Number of boys achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of boys achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of boys achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of boys achieving 5 or more GCSEs at grades A*-C including English & mathematics,Number KS4 girls as returned on SSDA903,Number of girls entered for at least one GCSE or equivalent,Number of girls entered for at least five GCSEs or equivalent,Number of girls achieving any pass at GCSE or equivalent,Number of girls achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of girls achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of girls achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of girls achieving 5 or more GCSEs at grades A*-C including English & mathematics,Number KS4 children as returned on SSDA903,Number of children entered for at least one GCSE or equivalent,Number of children entered for at least five GCSEs or equivalent,Number of children achieving any pass at GCSE or equivalent,Number of children achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of children achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of children achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of children achieving 5 or more GCSEs at grades A*-C including English & mathematics
861,Stoke,27,23,17,24,23,16,9,x,15,10,8,12,11,7,x,x,42,33,25,36,34,23,12,7
865,Wiltshire,13,x,x,x,x,x,x,x,12,11,10,11,11,8,x,x,25,16,13,16,16,11,x,x
866,Swindon,9,8,8,8,8,x,x,0,10,9,8,8,8,7,x,x,19,17,16,16,16,12,x,x
867,Bracknell Forest,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9,6,x,6,6,x,x,x
868,Royal Borough of Windsor & Maidenhead,6,x,x,x,x,x,x,x,x,x,0,x,x,0,0,0,7,x,x,x,x,x,x,x
869,West Berkshire,7,6,x,6,6,x,x,x,x,x,x,x,x,x,x,x,8,7,x,7,7,x,x,x
870,Reading,7,6,6,6,6,x,x,x,x,x,x,x,x,x,x,0,12,10,9,10,9,8,x,x
871,Slough,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,17,6,x,6,6,x,x,x
872,Wokingham,x,x,x,x,x,0,0,0,x,x,0,x,x,0,0,0,6,x,x,x,x,0,0,0
873,Cambridgeshire,20,17,12,17,13,7,6,x,18,17,14,17,15,12,x,x,38,34,26,34,28,19,9,x
874,City of Peterborough,18,12,7,12,11,6,x,0,14,11,9,11,10,8,7,x,32,23,16,23,21,14,9,x
876,Halton,11,10,9,10,9,6,x,x,7,6,x,6,6,x,x,x,18,16,14,16,15,10,6,x
877,Warrington,12,9,6,9,8,x,x,x,8,7,x,7,6,x,x,0,20,16,10,16,14,7,x,x
878,Devon,26,21,11,21,20,8,x,0,30,25,21,26,25,18,10,8,56,46,32,47,45,26,12,8
879,City of Plymouth,18,14,8,14,12,6,x,x,8,8,6,8,8,x,x,0,26,22,14,22,20,11,x,x
880,Torbay,9,8,x,8,8,x,x,x,8,x,x,x,x,x,0,0,17,13,7,12,12,x,x,x
881,Essex,67,52,37,51,47,33,16,x,48,42,30,43,35,28,16,6,115,94,67,94,82,61,32,11
882,Southend,14,11,x,12,11,x,x,x,13,13,11,13,13,10,6,x,27,24,16,25,24,14,8,6
883,Thurrock,6,x,x,x,x,x,x,x,10,9,7,10,9,7,x,x,16,13,11,14,13,11,x,x
884,Herefordshire,13,9,6,9,8,x,x,x,6,6,x,6,x,x,x,x,19,15,11,15,13,9,x,x
885,Worcestershire,29,20,15,21,16,11,6,x,16,13,13,13,13,12,6,x,45,33,28,34,29,23,12,x
886,Kent,81,52,41,53,50,29,12,x,49,37,25,36,32,17,10,x,130,89,66,89,82,46,22,6
887,Medway,16,13,6,13,10,x,x,x,13,11,9,10,10,9,6,x,29,24,15,23,20,14,8,x
888,Lancashire,59,50,41,53,50,34,15,10,38,34,27,34,32,22,15,8,97,84,68,87,82,56,30,18
889,Blackburn and Darwin,16,15,12,14,14,10,x,x,14,13,10,13,13,10,7,x,30,28,22,27,27,20,12,x
890,Blackpool,18,10,8,10,9,x,x,x,10,11,10,11,11,7,x,x,28,21,18,21,20,11,6,x
891,Nottinghamshire,24,16,14,15,14,13,6,x,18,15,12,15,15,12,7,x,42,31,26,30,29,25,13,x
892,City of Nottingham,24,15,11,16,14,9,x,0,23,20,17,20,18,14,6,x,47,35,28,36,32,23,8,x
893,Shropshire,10,9,8,9,9,6,x,x,6,x,x,x,x,x,x,x,16,14,13,14,14,11,x,x
894,Telford and Wrekin,8,x,x,x,x,x,x,x,12,10,6,10,9,6,x,x,20,15,11,15,13,9,x,x
895,Cheshire East,9,x,x,x,x,x,x,0,10,9,9,9,8,8,x,x,19,14,13,14,13,12,8,x
