New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E10000013,LA,916,Gloucestershire,182,43,101,81,33,39,21,53,36,100,14,6,10,31,x,x,18,33,x,0,139,8,x,0,0,0,0
E10000015,LA,919,Hertfordshire,434,135,239,195,89,94,67,107,77,165,14,0,123,131,0,0,x,76,0,0,296,51,8,0,x,0,0
E06000046,LA,921,Isle of Wight,71,22,38,33,8,16,12,23,12,33,6,8,x,12,x,0,x,12,x,0,47,x,x,0,x,0,x
E10000019,LA,925,Lincolnshire,229,80,129,100,59,55,36,58,21,172,x,x,25,14,6,0,9,66,0,0,144,14,0,0,x,0,0
E10000020,LA,926,Norfolk,442,130,203,239,104,71,56,147,64,255,x,11,38,82,13,0,41,75,7,0,308,41,7,0,x,0,0
E10000021,LA,928,Northamptonshire,377,90,228,149,57,73,50,116,81,173,6,13,10,134,8,x,32,30,x,x,277,37,21,0,9,0,0
E06000048,LA,929,Northumberland,111,24,56,55,26,28,19,32,6,50,x,x,25,20,7,x,0,17,0,0,86,x,x,0,x,0,0
E10000025,LA,931,Oxfordshire,253,102,138,115,45,52,35,67,54,126,x,7,33,52,x,0,29,74,x,x,145,20,6,0,x,0,0
E10000027,LA,933,Somerset,333,97,166,167,65,41,49,114,64,173,23,7,69,35,x,x,22,61,x,0,235,27,6,0,x,0,0
E10000029,LA,935,Suffolk,274,110,131,143,83,48,43,81,19,158,11,10,34,39,10,0,12,101,x,0,164,7,x,0,0,0,0
E10000030,LA,936,Surrey,370,129,206,164,64,69,60,138,39,146,12,0,59,111,x,0,38,97,x,0,239,22,6,0,x,0,0
E10000031,LA,937,Warwickshire,325,93,186,139,72,62,39,101,51,168,x,x,39,60,19,0,36,67,x,0,232,11,11,0,0,0,0
E10000032,LA,938,West Sussex,289,119,162,127,58,52,50,81,48,156,17,10,37,25,8,x,34,64,x,x,165,47,6,0,x,0,0
