time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,9839947,0,0,0,9839947,297370,9542577,0,0,9542577,189
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.1 Direct payments,777064,0,0,0,777064,340116,436948,0,0,436948,9
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.2 Short breaks (respite) for disabled children,1796916,0,0,113351,1910267,498361,1411906,0,0,1411906,28
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.3 Other support for disabled children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.4 Targeted family support,1557723,0,0,0,1557723,154317,1403406,0,0,1403406,28
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.5 Universal family support,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Family support services,3.4.6 Total Family Support Services,4131703,0,0,113351,4245054,992794,3252260,0,0,3252260,64
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Services for young people,3.5.1 Universal services for young people,584668,0,0,0,584668,1483,583185,0,0,583185,12
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Services for young people,3.5.2 Targeted services for young people,1216421,0,0,0,1216421,138946,1077475,0,0,1077475,21
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Services for young people,3.5.3 Total Services for young people,1801089,0,0,0,1801089,140429,1660660,0,0,1660660,33
